question_id,question,base_accuracy,base_clarity,base_educational,base_completeness,base_overall,ft_accuracy,ft_clarity,ft_educational,ft_completeness,ft_overall
0,What is a variable in Python?,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0
1,What is the difference between for loop and while loop in Python?,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.5
2,What is recursion? Please give an example.,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.5
3,Explain the difference between lists and tuples in Python.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.75
4,What is encapsulation in OOP?,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.5
5,How do you handle exceptions in Python?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0
6,Explain the principle of binary search algorithm.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
7,What is a dictionary comprehension in Python?,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.75
8,Explain the difference between stack and queue.,5.0,5.0,5.0,4.0,4.75,3.0,4.0,4.0,2.0,3.25
9,What is a decorator in Python? Give an example.,5.0,5.0,5.0,4.0,4.75,5.0,4.0,5.0,4.0,4.5
10,What is a list comprehension in Python?,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0
11,Explain deep copy and shallow copy in Python.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
12,What is a hash table? Which Python data structure is based on it?,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.0,3.75
13,Explain inheritance in OOP.,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.25
14,What is polymorphism? Give an example.,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.75
15,What are generators in Python? What are their advantages?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
16,Explain time complexity and space complexity.,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.25
17,What is bubble sort? What is its time complexity?,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75
18,Explain lambda functions in Python.,5.0,4.0,4.0,4.0,4.25,5.0,5.0,4.0,4.0,4.5
